axis,value,term_int,ct,
credit_card,0.001,36,3,
debt_consolidation,0.578,36,2726,
educational,0.001,36,5,
home_improvement,0.121,36,571,
house,0.012,36,55,
major_purchase,0.054,36,254,
medical,0.026,36,123,
moving,0.015,36,71,
other,0.136,36,639,
renewable_energy,0.001,36,7,
small_business,0.032,36,151,
vacation,0.016,36,75,
wedding,0.007,36,35,
credit_card,0.001,60,1,
debt_consolidation,0.593,60,1098,
educational,0.001,60,1,
home_improvement,0.118,60,218,
house,0.015,60,27,
major_purchase,0.053,60,99,
medical,0.022,60,41,
moving,0.010,60,19,
other,0.129,60,239,
renewable_energy,0.002,60,4,
small_business,0.043,60,80,
vacation,0.010,60,19,
wedding,0.004,60,7,
