axis,value,term,count
car,0.017024049,36,6245
credit_card,0.393853896,36,144479
debt_consolidation,1,36,366834
educational,0.000815083,36,299
home_improvement,0.098799457,36,36243
house,0.007052236,36,2587
major_purchase,0.033183947,36,12173
medical,0.016315282,36,5985
moving,0.010288032,36,3774
other,0.081772682,36,29997
renewable_energy,0.001065877,36,391
small_business,0.019551078,36,7172
vacation,0.00891684,36,3271
wedding,0.00451703,36,1657
car,0.016450525,60,2589
credit_card,0.392061303,60,61703
debt_consolidation,1,60,157381
educational,0.000787897,60,124
home_improvement,0.099033556,60,15586
house,0.007116488,60,1120
major_purchase,0.032430853,60,5104
medical,0.016234488,60,2555
moving,0.010420572,60,1640
other,0.08194763,60,12897
renewable_energy,0.001169137,60,184
small_business,0.020364593,60,3205
vacation,0.00930862,60,1465
wedding,0.004384265,60,690
